image_id,label,feature_type,sim_pos,margin,top1_acc
525247,cat,cls,-0.018799653,-0.04229445,0
525247,cat,mean_no_cls,0.0068357973,-0.04207579,0
525247,cat,mean_with_cls,0.006808812,-0.042109497,0
469067,cat,cls,-0.009727123,-0.03784074,0
469067,cat,mean_no_cls,0.008140506,-0.03947267,0
469067,cat,mean_with_cls,0.008120603,-0.03948117,0
411665,cat,cls,-0.022679064,-0.049251594,0
411665,cat,mean_no_cls,0.009506058,-0.041012704,0
411665,cat,mean_with_cls,0.009480316,-0.04100622,0
115885,cat,cls,-0.030520078,-0.045663666,0
115885,cat,mean_no_cls,0.008695122,-0.038167983,0
115885,cat,mean_with_cls,0.008655105,-0.03818651,0
117908,cat,cls,-0.03613154,-0.043616857,0
117908,cat,mean_no_cls,0.009263845,-0.033791818,0
117908,cat,mean_with_cls,0.009212715,-0.03381907,0
1675,cat,cls,-0.019983988,-0.041251242,0
1675,cat,mean_no_cls,0.00925166,-0.034493744,0
1675,cat,mean_with_cls,0.009226626,-0.034499913,0
519764,cat,cls,-0.009827144,-0.016025007,0
519764,cat,mean_no_cls,0.007907083,-0.041239552,0
519764,cat,mean_with_cls,0.00788962,-0.041220136,0
401991,cat,cls,-0.01132361,-0.037341803,0
401991,cat,mean_no_cls,0.0073213605,-0.0435462,0
401991,cat,mean_with_cls,0.007292675,-0.043527476,0
572388,cat,cls,0.004562341,-0.020584857,0
572388,cat,mean_no_cls,0.012066725,-0.03380492,0
572388,cat,mean_with_cls,0.012061631,-0.033812135,0
177015,cat,cls,-0.025169525,-0.034111843,0
177015,cat,mean_no_cls,0.008157486,-0.038371243,0
177015,cat,mean_with_cls,0.0081227645,-0.03838203,0
71226,cat,cls,-0.024223901,-0.047619954,0
71226,cat,mean_no_cls,0.010416489,-0.037225254,0
71226,cat,mean_with_cls,0.010371003,-0.03723404,0
407960,cat,cls,-0.015690913,-0.032729313,0
407960,cat,mean_no_cls,0.009645723,-0.03618008,0
407960,cat,mean_with_cls,0.009624497,-0.036192793,0
318238,cat,cls,0.003224303,-0.036881857,0
318238,cat,mean_no_cls,0.009528017,-0.040896475,0
318238,cat,mean_with_cls,0.009521164,-0.040891428,0
119828,cat,cls,-0.023752587,-0.035628818,0
119828,cat,mean_no_cls,0.010599256,-0.040842604,0
119828,cat,mean_with_cls,0.010559051,-0.04085784,0
312340,cat,cls,-0.009017171,-0.022870395,0
312340,cat,mean_no_cls,0.006834484,-0.044387985,0
312340,cat,mean_with_cls,0.0068230247,-0.044391606,0
131131,cat,cls,-0.013416876,-0.03427934,0
131131,cat,mean_no_cls,0.010276729,-0.040063985,0
131131,cat,mean_with_cls,0.01025516,-0.04008515,0
15497,cat,cls,-0.015634535,-0.024070892,0
15497,cat,mean_no_cls,0.009213379,-0.037044466,0
15497,cat,mean_with_cls,0.009192455,-0.037038703,0
565391,cat,cls,-0.020689122,-0.035352767,0
565391,cat,mean_no_cls,0.009289413,-0.039023966,0
565391,cat,mean_with_cls,0.009261409,-0.03901639,0
131938,cat,cls,-0.014385132,-0.03082995,0
131938,cat,mean_no_cls,0.011323288,-0.034951817,0
131938,cat,mean_with_cls,0.011303201,-0.03497144,0
466339,cat,cls,-0.020172272,-0.031464122,0
466339,cat,mean_no_cls,0.0042444356,-0.03903651,0
466339,cat,mean_with_cls,0.004218823,-0.039028607,0
524280,cat,cls,-0.0083467215,-0.028431822,0
524280,cat,mean_no_cls,0.008204447,-0.039031938,0
524280,cat,mean_with_cls,0.0081881825,-0.03904184,0
84362,cat,cls,-0.022371639,-0.02849146,0
84362,cat,mean_no_cls,0.010704663,-0.039256223,0
84362,cat,mean_with_cls,0.010670641,-0.039274767,0
10363,cat,cls,-0.017681198,-0.032289103,0
10363,cat,mean_no_cls,0.012002615,-0.04055883,0
10363,cat,mean_with_cls,0.011972047,-0.040540114,0
311789,cat,cls,-0.018287811,-0.030248746,0
311789,cat,mean_no_cls,0.0081935385,-0.03909028,0
311789,cat,mean_with_cls,0.008172117,-0.03907114,0
77595,cat,cls,-0.023715144,-0.033783086,0
77595,cat,mean_no_cls,0.009033745,-0.040948182,0
77595,cat,mean_with_cls,0.009004984,-0.040963884,0
176778,cat,cls,-0.00868043,-0.033324115,0
176778,cat,mean_no_cls,0.010615019,-0.041326463,0
176778,cat,mean_with_cls,0.010590193,-0.041302588,0
434996,cat,cls,-0.019418327,-0.05201926,0
434996,cat,mean_no_cls,0.012460931,-0.039603874,0
434996,cat,mean_with_cls,0.012424931,-0.039638035,0
125850,cat,cls,-0.022786677,-0.034230337,0
125850,cat,mean_no_cls,0.0104991365,-0.040492997,0
125850,cat,mean_with_cls,0.010462427,-0.040504336,0
241326,cat,cls,-0.025332205,-0.031198222,0
241326,cat,mean_no_cls,0.008356919,-0.04203764,0
241326,cat,mean_with_cls,0.00832188,-0.042038858,0
269314,cat,cls,-0.009240257,-0.02166919,0
269314,cat,mean_no_cls,0.0051404145,-0.04224889,0
269314,cat,mean_with_cls,0.005130342,-0.042247448,0
211042,cat,cls,-0.037976634,-0.053822532,0
211042,cat,mean_no_cls,0.01630225,-0.035108406,0
211042,cat,mean_with_cls,0.016251698,-0.03513092,0
398810,cat,cls,-0.01637071,-0.027743699,0
398810,cat,mean_no_cls,0.0059389686,-0.035962887,0
398810,cat,mean_with_cls,0.005914974,-0.035961345,0
167122,cat,cls,0.00033747125,-0.007288698,0
167122,cat,mean_no_cls,0.00860385,-0.04040695,0
167122,cat,mean_with_cls,0.00859957,-0.040390857,0
139684,cat,cls,-0.018891802,-0.023826942,0
139684,cat,mean_no_cls,0.008810733,-0.040576123,0
139684,cat,mean_with_cls,0.0087736575,-0.04056667,0
424545,cat,cls,-0.026371522,-0.027115464,0
424545,cat,mean_no_cls,0.0075513246,-0.036990754,0
424545,cat,mean_with_cls,0.007516952,-0.036996447,0
284623,cat,cls,-0.020427391,-0.025691964,0
284623,cat,mean_no_cls,0.010588253,-0.037016183,0
284623,cat,mean_with_cls,0.0105677955,-0.037019324,0
491216,cat,cls,-0.01068153,-0.02166618,0
491216,cat,mean_no_cls,0.009351085,-0.0371101,0
491216,cat,mean_with_cls,0.009322814,-0.03710977,0
360943,cat,cls,-0.012944501,-0.034409147,0
360943,cat,mean_no_cls,0.0028905543,-0.03771803,0
360943,cat,mean_with_cls,0.0028790291,-0.037729196,0
134096,cat,cls,-0.010743205,-0.03613618,0
134096,cat,mean_no_cls,0.012807016,-0.03759999,0
134096,cat,mean_with_cls,0.012775632,-0.037598982,0
121586,cat,cls,-0.019827584,-0.028412571,0
121586,cat,mean_no_cls,0.015006406,-0.042723425,0
121586,cat,mean_with_cls,0.0149593195,-0.042736333,0
366141,cat,cls,-0.006896387,-0.015715238,0
366141,cat,mean_no_cls,0.010456978,-0.041761495,0
366141,cat,mean_with_cls,0.010436144,-0.04174925,0
134882,cat,cls,-0.027475357,-0.041799128,0
134882,cat,mean_no_cls,0.0071364753,-0.04094297,0
134882,cat,mean_with_cls,0.007099163,-0.04097212,0
413395,cat,cls,-0.035439253,-0.048399046,0
413395,cat,mean_no_cls,0.0057844315,-0.03567165,0
413395,cat,mean_with_cls,0.0057414966,-0.035694253,0
291490,cat,cls,-0.013029354,-0.038103767,0
291490,cat,mean_no_cls,0.004705215,-0.03884636,0
291490,cat,mean_with_cls,0.0046954653,-0.038851228,0
290843,cat,cls,-0.019685645,-0.024161648,0
290843,cat,mean_no_cls,0.00754239,-0.03685264,0
290843,cat,mean_with_cls,0.007521157,-0.036860682,0
260925,cat,cls,-0.007990668,-0.023792086,0
260925,cat,mean_no_cls,0.007647067,-0.045106716,0
260925,cat,mean_with_cls,0.007635003,-0.045086704,0
300913,cat,cls,-0.037410077,-0.044879008,0
300913,cat,mean_no_cls,0.007726282,-0.039333988,0
300913,cat,mean_with_cls,0.0076839374,-0.03935354,0
277584,cat,cls,-0.011594967,-0.023575649,0
277584,cat,mean_no_cls,0.007633534,-0.038519945,0
277584,cat,mean_with_cls,0.0076208827,-0.038516827,0
491757,cat,cls,-0.034106664,-0.047211315,0
491757,cat,mean_no_cls,0.00589586,-0.03774777,0
491757,cat,mean_with_cls,0.0058694743,-0.0377707,0
357941,cat,cls,-0.026470201,-0.033347484,0
357941,cat,mean_no_cls,0.0065990468,-0.03968174,0
357941,cat,mean_with_cls,0.006565434,-0.03970098,0
385205,cat,cls,-0.034917932,-0.04333969,0
385205,cat,mean_no_cls,0.0076698316,-0.04267191,0
385205,cat,mean_with_cls,0.007628435,-0.042695828,0
227044,cat,cls,-0.018335406,-0.029621985,0
227044,cat,mean_no_cls,0.012218064,-0.03595309,0
227044,cat,mean_with_cls,0.012189524,-0.035960644,0
366199,cat,cls,-0.020374473,-0.03330239,0
366199,cat,mean_no_cls,0.0061317775,-0.037772052,0
366199,cat,mean_with_cls,0.006105381,-0.037791785,0
460841,cat,cls,-0.016322926,-0.021792402,0
460841,cat,mean_no_cls,0.011977929,-0.037527405,0
460841,cat,mean_with_cls,0.011954564,-0.03752507,0
186296,cat,cls,-0.015995312,-0.0148282945,0
186296,cat,mean_no_cls,0.010928283,-0.03686287,0
186296,cat,mean_with_cls,0.01091324,-0.036862366,0
476810,cat,cls,-0.011851691,-0.024630647,0
476810,cat,mean_no_cls,0.009067467,-0.037525285,0
476810,cat,mean_with_cls,0.009051964,-0.037536632,0
210099,cat,cls,0.0068823015,-0.0043060174,0
210099,cat,mean_no_cls,0.010843711,-0.040869564,0
